port_key,port_id,port_name,country,latitude,longitude,harbor_size,harbor_type,max_vessel
meaford_ca,3880,Meaford,Ca,44.616667,-80.6,V,CB,
thornbury_ca,3890,Thornbury,Ca,44.566667,-80.45,V,CB,M
collingwood_ca,3900,Collingwood,Ca,44.5,-80.233333,S,CB,M
penetanguishene_ca,3930,Penetanguishene,Ca,44.766667,-79.933333,V,CN,M
midland_ca,3940,Midland,Ca,44.75,-79.916667,S,CN,M
tiffin_ca,3950,Tiffin,Ca,44.75,-79.85,V,CN,M
port_mcnicoll_ca,3960,Port Mcnicoll,Ca,44.75,-79.8,V,CN,M
victoria_harbour_ca,3970,Victoria Harbour,Ca,44.75,-79.816667,V,CN,
waubaushene_ca,3980,Waubaushene,Ca,44.766667,-79.716667,V,CN,M
port_severn_ca,4000,Port Severn,Ca,44.8,-79.716667,V,RN,
depot_harbour_ca,4020,Depot Harbour,Ca,45.316667,-80.1,V,CN,M
parry_sound_ca,4030,Parry Sound,Ca,45.333333,-80.033333,S,CN,L
byng_inlet_ca,4050,Byng Inlet,Ca,45.766667,-80.566667,V,CN,M
key_harbour_ca,4060,Key Harbour,Ca,45.883333,-80.75,V,CN,M
killarney_ca,4080,Killarney,Ca,45.966667,-81.516667,V,CN,M
mamonal_co,11905,Mamonal,Co,10.316667,-75.516667,S,OR,M
imbituba_br,13040,Imbituba,Br,-28.233333,-48.666667,V,CN,L
guaiba_island_terminal_br,12935,Guaiba Island Terminal,Br,-23.016667,-44.033333,S,CN,L
dtse_gegua_oil_terminal_br,12900,Dtse / Gegua Oil Terminal,Br,-22.816667,-43.15,M,OR,L
gebig_br,12950,Gebig,Br,-23.05,-44.216667,S,OR,L
de_kastri_ru,60810,De Kastri,Ru,51.466667,140.783333,M,CN,M
nikolayevsk_na_amur_ru,60820,Nikolayevsk Na Amur,Ru,53.133333,140.733333,V,RN,M
okha_ru,60860,Okha,Ru,53.55,143.0,V,CN,M
poronaysk_ru,60880,Poronaysk,Ru,49.216667,143.133333,V,OR,M
korsakov_ru,60920,Korsakov,Ru,46.616667,142.766667,S,CB,M
nevelsk_ru,60930,Nevelsk,Ru,46.666667,141.866667,V,CB,M
kholmsk_ru,60940,Kholmsk,Ru,47.05,142.05,S,CB,M
uglegorsk_ru,60980,Uglegorsk,Ru,49.083333,142.033333,V,OR,M
lesogorsk_ru,60990,Lesogorsk,Ru,49.45,142.133333,V,OR,
masan_kr,60380,Masan,Kr,35.183333,128.566667,M,CN,L
busan_kr,60390,Busan,Kr,35.1,129.033333,L,CB,L
ulsan_kr,60400,Ulsan,Kr,35.45,129.4,M,RN,L
wenzhou_cn,59910,Wenzhou,Cn,28.016667,120.65,M,RN,M
zhen_hai_cn,59950,Zhen Hai,Cn,29.95,121.7,V,RN,M
zhoushan_cn,59960,Zhoushan,Cn,30.0,122.1,S,CN,L
jiangyin_cn,59985,Jiangyin,Cn,31.916667,120.233333,S,RN,M
gaogang_cn,59987,Gaogang,Cn,32.283333,119.85,S,RN,L
yangzhou_cn,59988,Yangzhou,Cn,32.266667,119.433333,S,RN,M
zhenjiang_cn,59995,Zhenjiang,Cn,32.216667,119.433333,S,RN,M
nanjing_cn,60000,Nanjing,Cn,32.083333,118.75,V,RN,L
wu_hu_cn,60010,Wu Hu,Cn,31.333333,118.366667,S,RN,
ankingcheng_cn,60030,Ankingcheng,Cn,30.516667,117.033333,V,RN,M
hankow_cn,60060,Hankow,Cn,30.583333,114.283333,M,RN,
wanxian_cn,60110,Wanxian,Cn,30.816667,108.433333,V,RN,
chung_ching_cn,60120,Chung Ching,Cn,29.566667,106.633333,V,RN,
lianyungang_cn,60130,Lianyungang,Cn,34.733333,119.45,S,CB,M
qingdao_gang_cn,60140,Qingdao Gang,Cn,36.033333,120.266667,L,OR,M
douala_cm,46280,Douala,Cm,4.05,9.683333,M,RN,L
kole_oil_terminal_cm,46285,Kole Oil Terminal,Cm,4.25,8.55,V,OR,M
bata_gq,46305,Bata,Gq,1.866667,9.766667,V,OR,L
libreville_ga,46430,Libreville,Ga,0.383333,9.45,M,OR,
port_owendo_ga,46435,Port Owendo,Ga,0.283333,9.5,S,OR,L
port_gentil_ga,46440,Port Gentil,Ga,-0.7,8.8,M,CN,L
cap_lopez_ga,46445,Cap Lopez,Ga,-0.633333,8.716667,V,OR,L
sailolof_id,53050,Sailolof,Id,-1.25,130.75,V,CN,
baubau_id,52260,Baubau,Id,-5.466667,122.616667,V,CN,M
raha_roadstead_id,52270,Raha Roadstead,Id,-4.85,122.733333,V,OR,M
pomalaa_id,52295,Pomalaa,Id,-4.166667,121.6,V,CN,M
ujung_pandang_id,52320,Ujung Pandang,Id,-5.133333,119.4,M,CB,M
donggala_id,52350,Donggala,Id,-0.65,119.733333,V,OR,
tahuna_id,52440,Tahuna,Id,3.616667,125.483333,V,CN,M
ternate_id,52510,Ternate,Id,0.783333,127.383333,V,OR,M
labuha_id,52523,Labuha,Id,-0.633333,127.466667,V,OR,
bula_id,52680,Bula,Id,-3.1,130.5,V,OR,M
salawati_id,52695,Salawati,Id,-1.35,130.983333,S,RN,M
ambon_id,52720,Ambon,Id,-3.683333,128.166667,S,CN,M
namlea_id,52760,Namlea,Id,-3.283333,127.083333,V,CN,
saumlaki_id,52870,Saumlaki,Id,-7.983333,131.3,V,CN,
serui_id,52940,Serui,Id,-1.9,136.25,V,CN,L
manokwari_road_id,53010,Manokwari Road,Id,-0.866667,134.083333,V,CN,M
mangkasa_oil_terminal_id,52235,Mangkasa Oil Terminal,Id,-2.733333,121.066667,S,OR,L
kendari_id,52240,Kendari,Id,-3.966667,122.583333,V,CN,M
kasim_terminal_id,53045,Kasim Terminal,Id,-1.3,131.016667,L,OR,M
bintulu_port_my,51585,Bintulu Port,My,3.266667,113.066667,S,CB,L
miri_my,51590,Miri,My,4.383333,113.966667,S,RN,M
lutong_my,51600,Lutong,My,4.466667,114.0,S,OR,L
muara_harbor_bn,51620,Muara Harbor,Bn,5.033333,115.066667,S,CN,M
bandar_seri_begawan_bn,51630,Bandar Seri Begawan,Bn,4.883333,114.883333,S,RN,
seria_oil_loading_terminal_bn,51645,Seria Oil Loading Terminal,Bn,4.616667,114.316667,V,OR,L
portovecchio_di_piombino_it,39740,Portovecchio Di Piombino,It,42.933333,10.55,V,CB,M
porto_santo_stefano_it,39790,Porto Santo Stefano,It,42.433333,11.116667,V,CB,M
civitavecchia_it,39810,Civitavecchia,It,42.1,11.783333,M,CB,M
fiumicino_it,39820,Fiumicino,It,41.766667,12.233333,V,LC,M
anzio_it,39830,Anzio,It,41.45,12.633333,V,CB,
gaeta_it,39860,Gaeta,It,41.2,13.583333,S,CB,M
pozzuoli_it,39940,Pozzuoli,It,40.816667,14.116667,V,CB,
bagnoli_it,39950,Bagnoli,It,40.816667,14.166667,S,OR,L
napoli_it,39960,Napoli,It,40.85,14.266667,L,CB,L
carloforte_it,39250,Carloforte,It,39.15,8.316667,V,CB,
porto_vesme_it,39260,Porto Vesme,It,39.2,8.4,V,CB,L
puerto_bolivar_co,11946,Puerto Bolivar,Co,12.25,-71.966667,S,CB,L
scalloway_gb,32590,Scalloway,Gb,60.133333,-1.283333,V,CN,M
lerwick_gb,32600,Lerwick,Gb,60.15,-1.15,M,CN,L
sullom_voe_gb,32630,Sullom Voe,Gb,60.466667,-1.3,S,CN,L
tvoroyri_fo,32680,Tvoroyri,Fo,61.55,-6.8,V,CN,M
torshavn_fo,32690,Torshavn,Fo,62.0,-6.75,V,CB,L
kongshavn_fo,32700,Kongshavn,Fo,62.116667,-6.733333,V,CB,
vestmanna_fo,32720,Vestmanna,Fo,62.15,-7.166667,V,CN,
sorvagur_fo,32730,Sorvagur,Fo,62.083333,-7.25,V,CN,M
fuglafjordur_fo,32740,Fuglafjordur,Fo,62.25,-6.8,V,CN,
klaksvik_fo,32750,Klaksvik,Fo,62.233333,-6.583333,V,CN,M
scrabster_harbor_gb,32780,Scrabster Harbor,Gb,58.616667,-3.55,S,CB,L
ullapool_gb,32820,Ullapool,Gb,57.9,-5.15,V,OR,M
aultbea_gb,32830,Aultbea,Gb,57.833333,-5.583333,V,OR,
gairloch_gb,32850,Gairloch,Gb,57.716667,-5.683333,V,RN,M
plockton_gb,32890,Plockton,Gb,57.333333,-5.65,V,CN,M
kyle_of_lochalsh_gb,32900,Kyle Of Lochalsh,Gb,57.283333,-5.716667,V,OR,M
kyleakin_gb,32910,Kyleakin,Gb,57.266667,-5.733333,V,CN,
broadford_bay_gb,32920,Broadford Bay,Gb,57.25,-5.883333,V,CN,
portree_harbor_gb,32930,Portree Harbor,Gb,57.416667,-6.2,V,CN,M
puerto_miranda_ve,12035,Puerto Miranda,Ve,10.766667,-71.566667,S,LC,L
la_salina_ve,12025,La Salina,Ve,10.366667,-71.466667,S,LC,L
hiroshima_jp,61650,Hiroshima,Jp,34.35,132.466667,M,OR,L
portocel_br,12820,Portocel,Br,-19.85,-40.05,S,CB,L
santa_clara_br,12857,Santa Clara,Br,-20.883333,-51.366667,V,CN,M
el_tabiazo_ve,12037,El Tabiazo,Ve,10.766667,-71.533333,V,OR,L
venterminals_ve,12117,Venterminals,Ve,10.483333,-68.033333,V,OR,
jose_ignacio_uy,13115,Jose Ignacio,Uy,-34.95,-54.7,V,OR,
cockburn_harbor_tc,10025,Cockburn Harbor,Tc,21.5,-71.533333,V,OR,
risan_me,41590,Risan,Me,42.516667,18.7,V,CB,
kotor_me,41610,Kotor,Me,42.416667,18.766667,V,CN,M
tivat_me,41620,Tivat,Me,42.433333,18.7,V,CB,
bar_me,41640,Bar,Me,42.083333,19.083333,S,CB,L
port_alucroix_vi,11336,Port Alucroix,Vi,17.7,-64.766667,V,OR,L
ciudad_bolivar_ve,12340,Ciudad Bolivar,Ve,8.133333,-63.55,S,RN,
djeno_terminal_cg,46472,Djeno Terminal,Cg,-4.933333,11.9,V,OR,L
n_kossa_terminal_cg,46473,N'Kossa Terminal,Cg,-5.266667,11.566667,V,OR,
matadi_cd,46530,Matadi,Cd,-5.816667,13.45,S,RN,L
tin_can_island_ng,46131,Tin Can Island,Ng,6.35,3.35,V,RN,L
sapele_ng,46150,Sapele,Ng,5.9,5.683333,V,RN,L
warri_ng,46170,Warri,Ng,5.516667,5.733333,V,RN,L
yoho_terminal_ng,46178,Yoho Terminal,Ng,4.016667,7.466667,V,OR,
sea_eagle_terminal_ng,46180,Sea Eagle Terminal,Ng,4.8,5.316667,V,OR,L
qua_iboe_oil_terminal_ng,46195,Qua Iboe Oil Terminal,Ng,4.233333,8.033333,V,OR,L
pennington_oil_terminal_ng,46200,Pennington Oil Terminal,Ng,4.25,5.616667,L,OR,L
bonny_offshore_terminal_ng,46206,Bonny Offshore Terminal,Ng,4.183333,7.233333,V,OR,L
lomonosov_ru,28390,Lomonosov,Ru,59.916667,29.766667,V,CN,M
kronshtadt_ru,28400,Kronshtadt,Ru,59.983333,29.783333,S,CB,L
reka_luga_ru,28410,Reka Luga,Ru,59.666667,28.316667,V,RN,M
kunda_ee,28440,Kunda,Ee,59.533333,26.533333,V,OR,M
tallinn_ee,28480,Tallinn,Ee,59.45,24.766667,L,CB,M
paldiski_ee,28505,Paldiski,Ee,59.35,24.033333,V,CB,M
osmussaar_ee,28510,Osmussaar,Ee,59.3,23.366667,V,CN,M
parnu_ee,28550,Parnu,Ee,58.383333,24.5,S,RN,M
riga_lv,28610,Riga,Lv,56.95,24.1,L,RN,L
ventspils_lv,28620,Ventspils,Lv,57.4,21.533333,M,CB,M
oguendjo_terminal_ga,46446,Oguendjo Terminal,Ga,-1.466667,8.916667,S,OR,L
gamba_oil_terminal_ga,46453,Gamba Oil Terminal,Ga,-2.833333,10.0,V,OR,L
pointe_noire_cg,46470,Pointe Noire,Cg,-4.783333,11.833333,S,CB,L
malongo_oil_terminal_ao,46487,Malongo Oil Terminal,Ao,-5.433333,12.083333,S,OR,L
cabinda_ao,46490,Cabinda,Ao,-5.533333,12.2,S,OR,L
banana_cd,46510,Banana,Cd,-5.983333,12.383333,V,RN,M
boma_cd,46520,Boma,Cd,-5.85,13.05,S,RN,M
palanca_terminal_ao,46547,Palanca Terminal,Ao,-6.95,12.4,S,OR,L
porto_do_ambriz_ao,46550,Porto Do Ambriz,Ao,-7.833333,13.1,V,CB,M
luanda_ao,46560,Luanda,Ao,-8.8,13.25,S,CN,L
lobito_ao,46590,Lobito,Ao,-12.333333,13.566667,S,CN,L
namibe_ao,46610,Namibe,Ao,-15.2,12.15,S,OR,L
georgetown_sh,46670,Georgetown,Sh,-7.933333,-14.416667,M,OR,L
bonny_ng,46205,Bonny,Ng,4.45,7.166667,M,RN,L
banjul_gm,45825,Banjul,Gm,13.45,-16.566667,V,RN,M
rio_cacheu_gw,45835,Rio Cacheu,Gw,12.283333,-16.233333,V,RN,
bissau_gw,45838,Bissau,Gw,11.866667,-15.633333,V,RN,L
victoria_gn,45845,Victoria,Gn,10.816667,-14.566667,V,RN,
kamsar_gn,45850,Kamsar,Gn,10.633333,-14.616667,V,RN,M
conakry_gn,45855,Conakry,Gn,9.516667,-13.716667,M,CB,L
benti_gn,45857,Benti,Gn,9.166667,-13.2,V,RN,
weihai_cn,60150,Weihai,Cn,37.5,122.1,M,CN,M
yantai_cn,60160,Yantai,Cn,37.55,121.45,S,CB,M
longkou_gang_cn,60170,Longkou Gang,Cn,37.633333,120.283333,S,CN,M
dagu_tanggu_cn,60180,Dagu Tanggu,Cn,38.966667,117.666667,V,RN,M
tianjin_xin_gang_cn,60190,Tianjin Xin Gang,Cn,38.966667,117.833333,L,RN,L
huludao_gang_cn,60210,Huludao Gang,Cn,40.7,120.983333,V,CB,
yingkou_cn,60220,Yingkou,Cn,40.683333,122.233333,S,CB,L
lushun_cn,60240,Lushun,Cn,38.783333,121.25,V,CB,
dalian_cn,60250,Dalian,Cn,38.916667,121.666667,L,CB,L
puerto_de_alcudia_es,38670,Puerto De Alcudia,Es,39.833333,3.133333,V,CB,M
mahon_es,38690,Mahon,Es,39.883333,4.266667,V,RB,M
rosas_es,38590,Rosas,Es,42.266667,3.183333,V,CN,
port_vendres_fr,38720,Port-Vendres,Fr,42.516667,3.116667,S,CB,M
port_la_nouvelle_fr,38730,Port-La-Nouvelle,Fr,43.016667,3.066667,S,LC,M
sete_fr,38750,Sete,Fr,43.4,3.7,S,CB,M
port_saint_louis_du_rhone_fr,38770,Port Saint Louis Du Rhone,Fr,43.383333,4.816667,S,LC,L
fos_fr,38775,Fos,Fr,43.416667,4.883333,V,CB,L
port_de_bouc_fr,38780,Port-De-Bouc,Fr,43.4,4.983333,S,CB,L
marseille_fr,38810,Marseille,Fr,43.316667,5.366667,S,CB,L
saint_tropez_fr,38920,Saint-Tropez,Fr,43.266667,6.633333,V,CB,
saint_raphael_fr,38940,Saint-Raphael,Fr,43.416667,6.766667,V,CB,
cannes_fr,38960,Cannes,Fr,43.55,7.016667,S,CN,M
antibes_fr,38980,Antibes,Fr,43.583333,7.133333,V,CB,M
nice_fr,38990,Nice,Fr,43.7,7.283333,S,CB,M
villefranche_fr,39000,Villefranche,Fr,43.7,7.316667,V,CB,M
monaco_mc,39025,Monaco,Mc,43.733333,7.416667,V,CB,M
bastia_fr,39060,Bastia,Fr,42.7,9.45,V,CB,M
bonifacio_fr,39080,Bonifacio,Fr,41.383333,9.166667,V,CN,
port_de_propriano_fr,39090,Port De Propriano,Fr,41.683333,8.9,V,CB,M
port_d_ajaccio_fr,39100,Port D' Ajaccio,Fr,41.916667,8.75,S,CB,L
calvi_fr,39110,Calvi,Fr,42.566667,8.75,V,CN,M
l_ile_rousse_fr,39120,L'Ile Rousse,Fr,42.633333,8.933333,V,CB,M
la_maddalena_it,39140,La Maddalena,It,41.2,9.416667,S,CN,L
olbia_it,39180,Olbia,It,40.916667,9.5,S,CN,M
arbatax_it,39190,Arbatax,It,39.933333,9.7,V,CB,L
cagliari_it,39210,Cagliari,It,39.216667,9.116667,S,CB,L
sarroch_oil_terminal_it,39215,Sarroch Oil Terminal,It,39.083333,9.033333,M,OR,L
victoria_my,51680,Victoria,My,5.283333,115.233333,S,CN,L
kota_kinabalu_my,51690,Kota Kinabalu,My,5.983333,116.066667,M,CN,L
kudat_my,51710,Kudat,My,6.883333,116.85,V,OR,L
pelabuhan_sandakan_my,51720,Pelabuhan Sandakan,My,5.833333,118.116667,S,CN,M
lahad_datu_my,51730,Lahad Datu,My,5.016667,118.316667,V,CN,M
tanjung_arang_bunyu_id,51770,Tanjung Arang  (Bunyu),Id,3.466667,117.833333,V,CN,M
lingkas_id,51780,Lingkas,Id,3.283333,117.6,S,OR,M
tanjungredeb_id,51800,Tanjungredeb,Id,2.15,117.483333,S,RN,
benoa_id,51810,Benoa,Id,0.983333,117.966667,V,RN,
bontang_lng_terminal_id,51811,Bontang Lng Terminal,Id,0.1,117.483333,V,CN,L
tanjung_santan_id,51815,Tanjung Santan,Id,-0.1,117.533333,V,CN,M
pozos_colorados_co,11935,Pozos Colorados,Co,11.15,-74.25,S,OR,L
barranquilla_co,11930,Barranquilla,Co,10.966667,-74.766667,M,RN,L
bahia_de_las_minas_pa,9875,Bahia De Las Minas,Pa,9.4,-79.816667,S,RN,L
puerto_cristobal_pa,9860,Puerto Cristobal,Pa,9.35,-79.916667,M,CB,L
puerto_moin_cr,9805,Puerto Moin,Cr,10.0,-83.083333,V,CB,L
bluefields_ni,9770,Bluefields,Ni,12.016667,-83.75,S,OR,L
tangier_mediterranean_ma,45753,Tangier-Mediterranean,Ma,35.9,-5.516667,L,CB,
puerto_este_hn,9665,Puerto Este,Hn,16.083333,-86.9,V,CN,M
neum_ba,41415,Neum,Ba,42.916667,17.6,S,,
belize_city_bz,9590,Belize City,Bz,17.5,-88.183333,S,OR,L
campeche_mx,9500,Campeche,Mx,19.85,-90.55,S,OR,M
frontera_mx,9440,Frontera,Mx,18.533333,-92.65,V,RN,M
nanchital_mx,9410,Nanchital,Mx,18.066667,-94.416667,V,RN,L
magdalla_in,48770,Magdalla,In,21.15,72.75,V,RN,M
hazira_in,48790,Hazira,In,21.083333,72.633333,S,CB,L
beppu_jp,62150,Beppu,Jp,33.316667,131.516667,V,CB,L
kokura_ko_jp,62130,Kokura Ko,Jp,33.883333,130.883333,S,CB,L
shimonoseki_jp,61700,Shimonoseki,Jp,33.933333,130.933333,S,CN,M
ratnagiri_in,48900,Ratnagiri,In,16.983333,73.283333,V,CN,L
trivandrum_in,49170,Trivandrum,In,8.483333,76.95,V,OR,M
shimminato_jp,61855,Shimminato,Jp,36.766667,137.116667,V,RB,
guayaquil_ec,15270,Guayaquil,Ec,-2.2,-79.883333,S,RN,L
montoir_fr,36855,Montoir,Fr,47.3,-2.133333,M,RN,
point_san_pablo_us,16380,Point San Pablo,Us,37.966667,-122.433333,V,CN,
sausalito_us,16385,Sausalito,Us,37.85,-122.483333,V,CN,
pinole_point_us,16390,Pinole Point,Us,38.016667,-122.366667,V,CN,
oleum_us,16400,Oleum,Us,38.05,-122.266667,V,CN,
mare_island_us,16410,Mare Island,Us,38.1,-122.266667,S,CN,
south_vallejo_us,16420,South Vallejo,Us,38.083333,-122.25,S,CN,
crockett_us,16440,Crockett,Us,38.05,-122.216667,V,CN,
port_costa_us,16450,Port Costa,Us,38.05,-122.183333,V,CN,
liepaja_lv,28640,Liepaja,Lv,56.516667,21.016667,M,CB,M
klaipeda_lt,28660,Klaipeda,Lt,55.716667,21.116667,M,RN,M
baltiysk_ru,28680,Baltiysk,Ru,54.633333,19.9,S,CB,L
kaliningrad_ru,28690,Kaliningrad,Ru,54.7,20.483333,M,RB,M
gdansk_pl,28710,Gdansk,Pl,54.35,18.666667,L,LC,L
port_polnochny_pl,28715,Port Polnochny,Pl,54.4,18.716667,M,CB,M
nowy_port_pl,28720,Nowy Port,Pl,54.416667,18.666667,S,LC,M
gdynia_pl,28740,Gdynia,Pl,54.533333,18.55,L,CB,M
ustka_pl,28770,Ustka,Pl,54.583333,16.85,S,RN,M
darlowo_pl,28790,Darlowo,Pl,54.433333,16.416667,V,RB,M
kolobrzeg_pl,28800,Kolobrzeg,Pl,54.216667,15.55,V,RN,M
swinoujscie_pl,28820,Swinoujscie,Pl,53.916667,14.266667,S,RN,M
szczecin_pl,28823,Szczecin,Pl,53.416667,14.55,M,RN,M
wolgast_de,28828,Wolgast,De,54.05,13.783333,V,RN,M
sassnitz_de,28840,Sassnitz,De,54.516667,13.65,V,OR,L
ekenas_fi,28170,Ekenas,Fi,59.983333,23.433333,S,CN,M
jussaro_fi,28180,Jussaro,Fi,59.833333,23.566667,V,CN,
porkkala_fi,28185,Porkkala,Fi,60.083333,24.383333,V,CN,M
karlsborg_se,27280,Karlsborg,Se,65.8,23.283333,M,CN,L
sandvik_se,27330,Sandvik,Se,65.733333,23.766667,V,CN,M
tornio_fi,27400,Tornio,Fi,65.766667,24.166667,S,RN,M
kemi_fi,27410,Kemi,Fi,65.733333,24.566667,S,CN,M
oulu_fi,27520,Oulu,Fi,65.016667,25.4,L,RN,M
raahe_fi,27530,Raahe,Fi,64.683333,24.416667,S,CB,M
himanka_fi,27540,Himanka,Fi,64.0,23.65,S,CN,M
kokkola_fi,27560,Kokkola,Fi,63.85,23.016667,L,CN,L
jakobstad_fi,27570,Jakobstad,Fi,63.683333,22.666667,M,CN,M
nykarleby_fi,27580,Nykarleby,Fi,63.516667,22.533333,V,RB,M
kantlax_fi,27590,Kantlax,Fi,63.416667,22.283333,V,OR,M
hellnas_fi,27610,Hellnas,Fi,63.283333,22.233333,V,OR,M
vaasa_fi,27650,Vaasa,Fi,63.1,21.583333,M,CN,L
kaskinen_fi,27670,Kaskinen,Fi,62.383333,21.233333,M,CN,M
kristinestad_fi,27680,Kristinestad,Fi,62.283333,21.4,M,CN,M
mantyluoto_fi,27750,Mantyluoto,Fi,61.6,21.483333,M,CB,M
tahkoluoto_fi,27755,Tahkoluoto,Fi,61.633333,21.4,V,OR,L
puerto_natales_cl,14190,Puerto Natales,Cl,-51.716667,-72.566667,V,OR,
puerto_chacabuco_cl,14197,Puerto Chacabuco,Cl,-45.466667,-72.833333,V,RN,L
puerto_castro_cl,14220,Puerto Castro,Cl,-42.483333,-73.766667,V,CN,M
