shipment_id,shipment_date,product_id,product_category,sku_group,supplier_id,supplier_name,supplier_country,supplier_region,business_unit,priority_level,origin_port,origin_country,origin_lat,origin_lng,destination_port,destination_country,destination_lat,destination_lng,route_key,route_distance_km,transport_mode,carrier_name,expected_time_hours,actual_time_hours,delay_hours,port_congestion_origin,port_congestion_destination,customs_clearance_hours,inventory_level,safety_stock_level,units_sold_7d,demand_volatility,fuel_price_index,temperature_control_required,order_value_usd,shipment_status
SHP_0011,2026-03-13 17:00:00,1005,Pharma,Cold Chain,SUP_006,WestCoast Devices,United States,North America,Logistics,Medium,Newark Port,United States,40.6895,-74.1745,Los Angeles Port,United States,33.7361,-118.2631,Newark Port|Los Angeles Port,4804,Ocean,ONE,215.06,251.05,35.99,0.4614,0.0983,16.44,384,111,286,0.4918,1.2443,Y,105255.67,delivered
SHP_0012,2026-03-07 15:00:00,1001,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Operations,High,Nagoya Port,Japan,35.0844,136.8856,Los Angeles Port,United States,33.7361,-118.2631,Nagoya Port|Los Angeles Port,11080,Ocean,MSC,323.45,367.36,43.91,0.2551,0.4006,25.58,602,353,408,0.2846,1.2748,Y,219083.48,delivered
SHP_0013,2026-01-09 12:00:00,1004,Digital Health,High Value,SUP_005,SinoHealth Components,China,Asia,Logistics,High,Ningbo Port,China,29.8683,121.544,Hamburg Port,Germany,53.5461,9.9661,Ningbo Port|Hamburg Port,10556,Ocean,ONE,374.31,390.77,16.46,0.1657,0.1871,22.8,405,210,252,0.2183,1.0349,N,140903.98,delivered
SHP_0014,2026-01-15 21:00:00,1003,MedTech,Critical Devices,SUP_006,WestCoast Devices,United States,North America,Logistics,Low,Savannah Port,United States,32.0809,-81.0912,Los Angeles Port,United States,33.7361,-118.2631,Savannah Port|Los Angeles Port,4217,Ocean,CMA CGM,201.28,225.47,24.19,0.503,0.0344,12.45,444,150,551,0.3762,1.1697,N,235071.72,delivered
SHP_0015,2026-02-03 16:00:00,1001,Pharma,Cold Chain,SUP_005,SinoHealth Components,China,Asia,Risk,High,Shanghai Port,China,31.2304,121.4737,Hamburg Port,Germany,53.5461,9.9661,Shanghai Port|Hamburg Port,10399,Ocean,Hapag-Lloyd,304.91,307.53,2.62,0.4595,0.5415,21.11,479,123,535,0.2587,1.2497,Y,187844.43,delivered
SHP_0016,2026-01-26 04:00:00,1005,Pharma,Cold Chain,SUP_002,Hanse Med Systems,Germany,Europe,Risk,Critical,Wilhelmshaven Port,Germany,53.5296,8.1125,Hamburg Port,Germany,53.5461,9.9661,Wilhelmshaven Port|Hamburg Port,800,Ocean,ONE,308.25,342.03,33.78,0.6617,0.1078,18.49,861,92,321,0.3421,1.1453,Y,142638.03,delivered
SHP_0017,2026-03-04 00:00:00,1003,MedTech,Critical Devices,SUP_003,Pacific Pharma Labs,South Korea,Asia,Logistics,High,Busan Port,South Korea,35.1796,129.0756,Los Angeles Port,United States,33.7361,-118.2631,Busan Port|Los Angeles Port,11757,Ocean,MSC,335.57,356.64,21.07,0.2773,0.1307,24.3,639,207,337,0.4484,1.2077,N,144505.72,delivered
SHP_0018,2026-03-04 02:00:00,1006,Consumables,Bulk,SUP_002,Hanse Med Systems,Germany,Europe,Risk,Low,Bremerhaven Port,Germany,53.5396,8.5809,Hamburg Port,Germany,53.5461,9.9661,Bremerhaven Port|Hamburg Port,800,Ocean,ONE,144.3,180.67,36.37,0.3686,0.309,27.14,571,174,351,0.5575,1.1819,N,305543.24,delivered
SHP_0019,2026-02-24 06:00:00,1003,MedTech,Critical Devices,SUP_006,WestCoast Devices,United States,North America,Risk,Medium,Newark Port,United States,40.6895,-74.1745,Busan Port,South Korea,35.1028,129.0403,Newark Port|Busan Port,13725,Ocean,Hapag-Lloyd,313.97,336.56,22.59,0.2126,0.2975,18.53,586,154,241,0.5751,1.1191,N,149583.41,delivered
SHP_0020,2026-01-16 07:00:00,1003,MedTech,Critical Devices,SUP_001,Nippon Biologics,Japan,Asia,Logistics,Medium,Yokohama Port,Japan,35.4437,139.638,Busan Port,South Korea,35.1028,129.0403,Yokohama Port|Busan Port,1169,Ocean,ONE,105.75,111.82,6.07,0.1788,0.1545,12.97,516,134,337,0.2875,1.1608,N,130366.14,delivered
SHP_0021,2026-01-10 22:00:00,1001,Pharma,Cold Chain,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Low,Wilhelmshaven Port,Germany,53.5296,8.1125,Hamburg Port,Germany,53.5461,9.9661,Wilhelmshaven Port|Hamburg Port,800,Ocean,Hapag-Lloyd,291.73,299.31,7.58,0.216,0.4144,19.57,752,223,598,0.5388,1.1811,Y,191000.52,delivered
SHP_0022,2026-03-27 15:00:00,1002,MedTech,Temperature Sensitive,SUP_005,SinoHealth Components,China,Asia,Logistics,Medium,Shenzhen Port,China,22.5431,114.0579,Busan Port,South Korea,35.1028,129.0403,Shenzhen Port|Busan Port,2468,Ocean,ONE,136.25,156.05,19.8,0.6714,0.0407,20.39,308,262,481,0.6338,1.3489,N,261232.34,delivered
SHP_0023,2026-01-25 03:00:00,1004,Digital Health,High Value,SUP_006,WestCoast Devices,United States,North America,Risk,Medium,Savannah Port,United States,32.0809,-81.0912,Los Angeles Port,United States,33.7361,-118.2631,Savannah Port|Los Angeles Port,4217,Ocean,CMA CGM,215.15,252.38,37.23,0.1619,0.2598,14.85,633,129,155,0.2444,1.2361,N,135090.81,delivered
SHP_0024,2026-03-28 20:00:00,1004,Digital Health,High Value,SUP_001,Nippon Biologics,Japan,Asia,Logistics,Medium,Kobe Port,Japan,34.6901,135.1955,Los Angeles Port,United States,33.7361,-118.2631,Kobe Port|Los Angeles Port,11263,Ocean,Maersk,334.17,334.17,0.0,0.482,0.3849,22.52,689,100,198,0.1851,1.3032,N,223052.54,in_transit
SHP_0025,2026-02-24 05:00:00,1002,MedTech,Temperature Sensitive,SUP_004,Gujarat CareForm,India,Asia,Risk,Medium,Chennai Port,India,13.0827,80.2707,Los Angeles Port,United States,33.7361,-118.2631,Chennai Port|Los Angeles Port,17631,Ocean,Maersk,428.57,428.57,0.0,0.4799,0.0605,3.53,578,137,278,0.1438,1.172,N,237308.54,delivered
SHP_0026,2026-01-07 20:00:00,1002,MedTech,Temperature Sensitive,SUP_001,Nippon Biologics,Japan,Asia,Operations,Medium,Nagoya Port,Japan,35.0844,136.8856,Hamburg Port,Germany,53.5461,9.9661,Nagoya Port|Hamburg Port,10879,Ocean,CMA CGM,444.79,454.3,9.51,0.1057,0.2535,17.25,408,189,326,0.4952,1.0868,N,225450.46,delivered
SHP_0027,2026-01-22 12:00:00,1003,MedTech,Critical Devices,SUP_004,Gujarat CareForm,India,Asia,Risk,Medium,Mundra Port,India,22.839,69.721,Hamburg Port,Germany,53.5461,9.9661,Mundra Port|Hamburg Port,7323,Ocean,CMA CGM,397.53,397.53,0.0,0.2328,0.0434,22.04,262,189,249,0.6539,1.208,N,115107.12,delivered
SHP_0028,2026-03-13 21:00:00,1002,MedTech,Temperature Sensitive,SUP_002,Hanse Med Systems,Germany,Europe,Risk,Medium,Hamburg Port,Germany,53.5461,9.9661,Mumbai Port,India,18.9497,72.8406,Hamburg Port|Mumbai Port,7982,Ocean,Maersk,258.07,270.35,12.28,0.4189,0.3676,10.74,296,205,261,0.4643,1.1629,N,128160.55,delivered
SHP_0029,2026-02-10 01:00:00,1004,Digital Health,High Value,SUP_005,SinoHealth Components,China,Asia,Risk,Low,Ningbo Port,China,29.8683,121.544,Hamburg Port,Germany,53.5461,9.9661,Ningbo Port|Hamburg Port,10556,Ocean,ONE,444.11,476.96,32.85,0.3588,0.3169,13.96,252,204,260,0.634,1.248,N,71707.07,delivered
SHP_0030,2026-01-24 02:00:00,1002,MedTech,Temperature Sensitive,SUP_006,WestCoast Devices,United States,North America,Risk,Medium,Newark Port,United States,40.6895,-74.1745,Los Angeles Port,United States,33.7361,-118.2631,Newark Port|Los Angeles Port,4804,Ocean,ONE,225.31,225.31,0.0,0.0637,0.5786,13.44,681,154,440,0.3089,1.1843,N,266494.12,delivered
SHP_0031,2026-03-21 02:00:00,1005,Pharma,Cold Chain,SUP_006,WestCoast Devices,United States,North America,Logistics,Critical,Newark Port,United States,40.6895,-74.1745,Hamburg Port,Germany,53.5461,9.9661,Newark Port|Hamburg Port,7491,Ocean,Hapag-Lloyd,325.22,333.81,8.59,0.0245,0.3866,18.61,441,160,387,0.5461,1.166,Y,304524.05,delivered
SHP_0032,2026-01-31 08:00:00,1006,Consumables,Bulk,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Medium,Wilhelmshaven Port,Germany,53.5296,8.1125,Hamburg Port,Germany,53.5461,9.9661,Wilhelmshaven Port|Hamburg Port,800,Ocean,CMA CGM,218.07,259.8,41.73,0.4339,0.0593,18.13,557,214,162,0.4901,1.3309,N,155082.73,delivered
SHP_0033,2026-02-28 19:00:00,1005,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Operations,Low,Yokohama Port,Japan,35.4437,139.638,Los Angeles Port,United States,33.7361,-118.2631,Yokohama Port|Los Angeles Port,10802,Ocean,Hapag-Lloyd,319.76,342.86,23.1,0.1859,0.2716,18.5,476,135,286,0.4372,1.137,Y,124670.08,delivered
SHP_0034,2026-02-01 11:00:00,1004,Digital Health,High Value,SUP_002,Hanse Med Systems,Germany,Europe,Risk,High,Wilhelmshaven Port,Germany,53.5296,8.1125,Los Angeles Port,United States,33.7361,-118.2631,Wilhelmshaven Port|Los Angeles Port,11012,Ocean,Hapag-Lloyd,320.95,350.7,29.75,0.2706,0.2576,5.55,911,185,353,0.5166,1.3146,N,193433.04,delivered
SHP_0035,2026-01-02 21:00:00,1001,Pharma,Cold Chain,SUP_006,WestCoast Devices,United States,North America,Logistics,Medium,Newark Port,United States,40.6895,-74.1745,Los Angeles Port,United States,33.7361,-118.2631,Newark Port|Los Angeles Port,4804,Ocean,MSC,221.95,221.95,0.0,0.1273,0.5623,11.07,494,160,218,0.2888,1.1687,Y,184399.08,delivered
SHP_0036,2026-03-12 04:00:00,1005,Pharma,Cold Chain,SUP_003,Pacific Pharma Labs,South Korea,Asia,Risk,Medium,Incheon Port,South Korea,37.4563,126.7052,Los Angeles Port,United States,33.7361,-118.2631,Incheon Port|Los Angeles Port,11755,Ocean,Hapag-Lloyd,324.56,337.35,12.79,0.1714,0.3903,2.0,476,130,648,0.2873,1.1751,Y,178552.49,delivered
SHP_0037,2026-03-06 15:00:00,1001,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Operations,Low,Kobe Port,Japan,34.6901,135.1955,Los Angeles Port,United States,33.7361,-118.2631,Kobe Port|Los Angeles Port,11263,Ocean,Hapag-Lloyd,322.32,326.6,4.28,0.3074,0.3117,16.22,465,163,171,0.0244,1.3154,Y,285136.23,delivered
SHP_0038,2026-01-17 20:00:00,1006,Consumables,Bulk,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Medium,Hamburg Port,Germany,53.5461,9.9661,Los Angeles Port,United States,33.7361,-118.2631,Hamburg Port|Los Angeles Port,11110,Ocean,CMA CGM,317.25,358.54,41.29,0.2854,0.5143,14.33,633,199,296,0.1509,1.224,N,216956.14,delivered
SHP_0039,2026-03-30 04:00:00,1005,Pharma,Cold Chain,SUP_003,Pacific Pharma Labs,South Korea,Asia,Operations,Low,Gwangyang Port,South Korea,34.9407,127.6959,Hamburg Port,Germany,53.5461,9.9661,Gwangyang Port|Hamburg Port,10373,Ocean,CMA CGM,441.82,497.72,55.9,0.3881,0.4642,14.34,315,258,90,0.5045,1.2744,Y,174197.21,customs_hold
SHP_0040,2026-01-06 11:00:00,1002,MedTech,Temperature Sensitive,SUP_006,WestCoast Devices,United States,North America,Operations,High,Los Angeles Port,United States,33.7361,-118.2631,Busan Port,South Korea,35.1028,129.0403,Los Angeles Port|Busan Port,11757,Ocean,Hapag-Lloyd,285.75,285.75,0.0,0.1592,0.2667,20.15,522,195,275,0.1343,1.0261,N,121297.63,delivered
SHP_0041,2026-01-20 07:00:00,1004,Digital Health,High Value,SUP_002,Hanse Med Systems,Germany,Europe,Operations,High,Bremerhaven Port,Germany,53.5396,8.5809,Hamburg Port,Germany,53.5461,9.9661,Bremerhaven Port|Hamburg Port,800,Ocean,Hapag-Lloyd,138.22,138.22,0.0,0.5462,0.2208,5.11,549,146,266,0.2991,1.0648,N,98898.92,delivered
SHP_0042,2026-02-01 08:00:00,1001,Pharma,Cold Chain,SUP_006,WestCoast Devices,United States,North America,Logistics,High,Newark Port,United States,40.6895,-74.1745,Hamburg Port,Germany,53.5461,9.9661,Newark Port|Hamburg Port,7491,Ocean,Maersk,251.28,300.55,49.27,0.0869,0.3199,13.97,514,259,264,0.7402,1.191,Y,146251.99,delivered
SHP_0043,2026-02-28 11:00:00,1002,MedTech,Temperature Sensitive,SUP_002,Hanse Med Systems,Germany,Europe,Operations,Medium,Wilhelmshaven Port,Germany,53.5296,8.1125,Los Angeles Port,United States,33.7361,-118.2631,Wilhelmshaven Port|Los Angeles Port,11012,Ocean,MSC,310.01,337.53,27.52,0.2699,0.177,17.48,609,228,440,0.6462,1.2359,N,80342.34,delivered
SHP_0044,2026-02-05 11:00:00,1005,Pharma,Cold Chain,SUP_006,WestCoast Devices,United States,North America,Operations,Low,Savannah Port,United States,32.0809,-81.0912,Hamburg Port,Germany,53.5461,9.9661,Savannah Port|Hamburg Port,8858,Ocean,Maersk,344.18,355.19,11.01,0.3082,0.0785,17.72,535,159,287,0.4069,1.2413,Y,151275.08,delivered
SHP_0045,2026-03-16 08:00:00,1005,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Risk,Medium,Nagoya Port,Japan,35.0844,136.8856,Hamburg Port,Germany,53.5461,9.9661,Nagoya Port|Hamburg Port,10879,Ocean,Hapag-Lloyd,448.41,471.06,22.65,0.5643,0.4584,19.87,437,243,615,0.2952,1.2601,Y,267203.07,in_transit
SHP_0046,2026-03-15 06:00:00,1006,Consumables,Bulk,SUP_001,Nippon Biologics,Japan,Asia,Risk,Critical,Yokohama Port,Japan,35.4437,139.638,Los Angeles Port,United States,33.7361,-118.2631,Yokohama Port|Los Angeles Port,10802,Ocean,ONE,312.18,349.74,37.56,0.5619,0.1359,17.76,677,170,334,0.7585,1.2011,N,202944.58,delivered
SHP_0047,2026-03-27 06:00:00,1001,Pharma,Cold Chain,SUP_004,Gujarat CareForm,India,Asia,Risk,High,Mumbai Port,India,18.9497,72.8356,Hamburg Port,Germany,53.5461,9.9661,Mumbai Port|Hamburg Port,7982,Ocean,Hapag-Lloyd,424.37,424.37,0.0,0.2454,0.212,13.54,431,208,364,0.6892,1.287,Y,287752.66,delivered
SHP_0048,2026-02-08 16:00:00,1004,Digital Health,High Value,SUP_006,WestCoast Devices,United States,North America,Logistics,Medium,Newark Port,United States,40.6895,-74.1745,Los Angeles Port,United States,33.7361,-118.2631,Newark Port|Los Angeles Port,4804,Ocean,Hapag-Lloyd,213.67,249.35,35.68,0.204,0.2755,16.76,437,190,338,0.2571,1.1082,N,148147.87,delivered
SHP_0049,2026-03-27 12:00:00,1005,Pharma,Cold Chain,SUP_005,SinoHealth Components,China,Asia,Operations,High,Shanghai Port,China,31.2304,121.4737,Hamburg Port,Germany,53.5461,9.9661,Shanghai Port|Hamburg Port,10399,Ocean,ONE,297.23,302.84,5.61,0.132,0.3924,23.74,493,186,484,0.4196,1.2257,Y,156399.67,in_transit
SHP_0050,2026-03-16 19:00:00,1004,Digital Health,High Value,SUP_004,Gujarat CareForm,India,Asia,Risk,Medium,Chennai Port,India,13.0827,80.2707,Hamburg Port,Germany,53.5461,9.9661,Chennai Port|Hamburg Port,9204,Ocean,MSC,437.3,461.12,23.82,0.1754,0.2877,22.52,504,192,412,0.3281,1.3747,N,191645.4,delivered
SHP_0051,2026-02-06 16:00:00,1002,MedTech,Temperature Sensitive,SUP_001,Nippon Biologics,Japan,Asia,Logistics,High,Kobe Port,Japan,34.6901,135.1955,Hamburg Port,Germany,53.5461,9.9661,Kobe Port|Hamburg Port,10834,Ocean,MSC,466.78,490.05,23.27,0.5552,0.6413,14.09,288,81,392,0.6383,1.2139,N,222501.39,delivered
SHP_0052,2026-01-06 07:00:00,1001,Pharma,Cold Chain,SUP_005,SinoHealth Components,China,Asia,Risk,Low,Shenzhen Port,China,22.5431,114.0579,Mumbai Port,India,18.9497,72.8406,Shenzhen Port|Mumbai Port,5236,Ocean,ONE,215.79,253.12,37.33,0.3605,0.3734,7.32,319,244,330,0.3672,1.1177,Y,207405.19,delivered
SHP_0053,2026-03-05 12:00:00,1006,Consumables,Bulk,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,High,Hamburg Port,Germany,53.5461,9.9661,Busan Port,South Korea,35.1028,129.0403,Hamburg Port|Busan Port,10428,Ocean,Maersk,264.53,264.53,0.0,0.3061,0.2328,13.27,654,150,286,0.6293,1.3421,N,34567.24,delivered
SHP_0054,2026-03-31 16:00:00,1005,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Operations,Medium,Nagoya Port,Japan,35.0844,136.8856,Mumbai Port,India,18.9497,72.8406,Nagoya Port|Mumbai Port,7910,Ocean,Maersk,256.26,256.26,0.0,0.0502,0.1336,17.97,553,88,310,0.5108,1.0757,Y,163133.98,delivered
SHP_0055,2026-03-13 19:00:00,1005,Pharma,Cold Chain,SUP_004,Gujarat CareForm,India,Asia,Risk,Medium,Mundra Port,India,22.839,69.721,Hamburg Port,Germany,53.5461,9.9661,Mundra Port|Hamburg Port,7323,Ocean,ONE,411.91,439.59,27.68,0.4579,0.3765,18.42,687,155,498,0.462,1.1218,Y,138648.73,customs_hold
SHP_0056,2026-03-02 14:00:00,1006,Consumables,Bulk,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Medium,Bremerhaven Port,Germany,53.5396,8.5809,Los Angeles Port,United States,33.7361,-118.2631,Bremerhaven Port|Los Angeles Port,11036,Ocean,ONE,313.83,316.46,2.63,0.4978,0.206,21.66,526,185,413,0.1965,1.1284,N,79884.96,delivered
SHP_0057,2026-02-26 02:00:00,1003,MedTech,Critical Devices,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Low,Wilhelmshaven Port,Germany,53.5296,8.1125,Los Angeles Port,United States,33.7361,-118.2631,Wilhelmshaven Port|Los Angeles Port,11012,Ocean,ONE,314.23,343.08,28.85,0.2649,0.072,25.33,661,216,361,0.676,1.1705,N,262608.21,delivered
SHP_0058,2026-02-19 22:00:00,1002,MedTech,Temperature Sensitive,SUP_006,WestCoast Devices,United States,North America,Operations,Medium,Newark Port,United States,40.6895,-74.1745,Hamburg Port,Germany,53.5461,9.9661,Newark Port|Hamburg Port,7491,Ocean,CMA CGM,246.98,284.63,37.65,0.3315,0.3053,26.21,241,196,329,0.4213,1.1659,N,246463.23,delivered
SHP_0059,2026-01-08 06:00:00,1005,Pharma,Cold Chain,SUP_004,Gujarat CareForm,India,Asia,Risk,High,Mumbai Port,India,18.9497,72.8356,Hamburg Port,Germany,53.5461,9.9661,Mumbai Port|Hamburg Port,7982,Ocean,Maersk,338.3,373.77,35.47,0.1661,0.3282,9.02,656,218,486,0.4053,1.1567,Y,201759.34,delivered
SHP_0060,2026-03-03 00:00:00,1004,Digital Health,High Value,SUP_003,Pacific Pharma Labs,South Korea,Asia,Risk,Medium,Busan Port,South Korea,35.1796,129.0756,Hamburg Port,Germany,53.5461,9.9661,Busan Port|Hamburg Port,10428,Ocean,CMA CGM,462.65,480.36,17.71,0.4901,0.1817,18.36,200,186,394,0.2271,1.1682,N,53944.87,delivered
SHP_0061,2026-03-19 07:00:00,1003,MedTech,Critical Devices,SUP_002,Hanse Med Systems,Germany,Europe,Risk,Medium,Hamburg Port,Germany,53.5461,9.9661,Mumbai Port,India,18.9497,72.8406,Hamburg Port|Mumbai Port,7982,Ocean,Maersk,259.94,278.4,18.46,0.5474,0.1592,31.4,578,223,376,0.2384,1.2292,N,191853.96,delivered
SHP_0062,2026-02-21 23:00:00,1002,MedTech,Temperature Sensitive,SUP_004,Gujarat CareForm,India,Asia,Operations,Low,Chennai Port,India,13.0827,80.2707,Hamburg Port,Germany,53.5461,9.9661,Chennai Port|Hamburg Port,9204,Ocean,ONE,287.07,319.14,32.07,0.2724,0.0983,12.72,592,104,227,0.2061,1.2705,N,223287.98,delivered
SHP_0063,2026-03-14 21:00:00,1006,Consumables,Bulk,SUP_001,Nippon Biologics,Japan,Asia,Operations,Low,Yokohama Port,Japan,35.4437,139.638,Hamburg Port,Germany,53.5461,9.9661,Yokohama Port|Hamburg Port,10981,Ocean,CMA CGM,449.98,490.48,40.5,0.3767,0.4066,7.92,308,187,255,0.7123,1.1003,N,45054.26,in_transit
SHP_0064,2026-02-28 10:00:00,1003,MedTech,Critical Devices,SUP_004,Gujarat CareForm,India,Asia,Logistics,Medium,Mundra Port,India,22.839,69.721,Hamburg Port,Germany,53.5461,9.9661,Mundra Port|Hamburg Port,7323,Ocean,CMA CGM,411.05,438.23,27.18,0.4626,0.7481,6.48,656,168,387,0.4402,1.3896,N,177978.81,delivered
SHP_0065,2026-01-03 23:00:00,1002,MedTech,Temperature Sensitive,SUP_003,Pacific Pharma Labs,South Korea,Asia,Logistics,High,Incheon Port,South Korea,37.4563,126.7052,Hamburg Port,Germany,53.5461,9.9661,Incheon Port|Hamburg Port,10028,Ocean,Maersk,437.55,446.91,9.36,0.2014,0.0807,7.01,365,263,366,0.1182,1.1257,N,263844.88,delivered
SHP_0066,2026-01-03 19:00:00,1002,MedTech,Temperature Sensitive,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Medium,Bremerhaven Port,Germany,53.5396,8.5809,Hamburg Port,Germany,53.5461,9.9661,Bremerhaven Port|Hamburg Port,800,Ocean,Maersk,144.27,193.74,49.47,0.2413,0.1971,18.28,409,216,272,0.3484,1.225,N,194368.65,delivered
SHP_0067,2026-03-31 08:00:00,1005,Pharma,Cold Chain,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,High,Wilhelmshaven Port,Germany,53.5296,8.1125,Hamburg Port,Germany,53.5461,9.9661,Wilhelmshaven Port|Hamburg Port,800,Ocean,Maersk,303.58,333.77,30.19,0.2499,0.3292,17.09,300,194,339,0.709,1.2902,Y,93862.87,in_transit
SHP_0068,2026-01-04 09:00:00,1006,Consumables,Bulk,SUP_004,Gujarat CareForm,India,Asia,Risk,High,Mumbai Port,India,18.9497,72.8356,Hamburg Port,Germany,53.5461,9.9661,Mumbai Port|Hamburg Port,7982,Ocean,ONE,328.21,328.21,0.0,0.0347,0.5758,10.9,271,200,594,0.344,1.1272,N,221699.87,delivered
SHP_0069,2026-01-14 22:00:00,1005,Pharma,Cold Chain,SUP_006,WestCoast Devices,United States,North America,Operations,High,Newark Port,United States,40.6895,-74.1745,Los Angeles Port,United States,33.7361,-118.2631,Newark Port|Los Angeles Port,4804,Ocean,ONE,220.15,244.22,24.07,0.6312,0.212,11.56,717,155,171,0.53,1.0977,Y,184511.23,delivered
SHP_0070,2026-02-24 21:00:00,1005,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Operations,High,Kobe Port,Japan,34.6901,135.1955,Hamburg Port,Germany,53.5461,9.9661,Kobe Port|Hamburg Port,10834,Ocean,Maersk,466.44,503.57,37.13,0.4276,0.1693,24.7,601,277,204,0.5523,1.0836,Y,195078.34,delivered
